federal_account_symbol,account_title,agency,bureau
036-0160,"Expenses, Medical Services, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0160,"Expenses, Medical Services, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0160,"Medical Services, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0161,"Medical and Prosthetic Research, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0162,"Expenses, Medical Facilities, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0165,"DOD-VA Health Care Sharing Incentive Fund, Veterans Affairs",Department of Defense,DEPARTMENT OF DEFENSE
036-0167,"Information Technology System, Departmental Administration, Veteran Affairs",Department of Veterans Affairs,Departmental Administration
036-0167,"Information Technology Systems, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0168,"Information Technology Systems - Recovery Act, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0169,"Joint Department of Defense - Department of Veterans Affairs Demonstration Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0169,"Joint Department of Defense - Department of Veterans Affairs Demonstration Fund,Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0169,"Joint Department of Defense - Department of Veterans Affairs Medical Facility Demonstration Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0170,"Office of Inspector General, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0171,"Office of Inspector General - Recovery Act, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-0172,"Veterans Choice Fund, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0173,"Veterans Medical Care and Health Fund, Veterans Health Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Health Administration
036-0181,"Grants for Construction of State Extended Care Facilities, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0183,"Grants for Construction of State Veterans Cemeteries, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-0184,"Grants for Construction of State Extended Care Facilities - Recovery Act, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-1114,"Vocational Rehabilitation Loans Program Account, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-1119,"Veterans Housing Benefit Program Fund Program Account, Department of Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-1119,"Veterans Housing Benefit Program Fund Program Account, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-1119,"Veterans Housing Benefit Program Fund, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-1120,"Native American Veteran Housing Loan Program Account, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-1121,"Filipino Veterans Equity Compensation Fund, Benefits Programs, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-1122,"Board of Veterans Appeals, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-1123,"Veterans Electronic Health Care Record, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-1123,"Veterans Electronic Health Record, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-1124,"Recurring Expenses Transformational Fund, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-1126,"Cost of War Toxic Exposures Fund, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-1130,"Asset and Infrastructure Review, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-4009,"Servicemen's Group Life Insurance Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4010,"Veterans Reopened Insurance Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4012,"Service-Disabled Veterans Insurance Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4014,"Canteen Service Revolving Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4018,"Pershing Hall Revolving Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4025,"Veterans Housing Benefit Program Fund Liquidating Account, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4114,"Vocational Rehabilitation Revolving Fund, Liquidating Account, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4379,"Veteran Affairs Life Insurance, Veterans Benefits Administration, Veterans Affairs",Department of Veterans Affairs,Veterans Benefits Administration
036-4537,"Supply Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-4539,"Franchise Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-5287,"Medical Care Collections Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-5392,"National Cemetery Administration Facilities Operation Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6020,"Personal Funds of Patients, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Veterans Administration",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6275,"Withheld State and Local Taxes, Veterans Administration",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6276,"Other Federal Payroll Withholding, Allotments, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6278,"All Other Payroll Withholdings, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6279,"Deductions from Veterans Benefits Payments, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6501,"Small Escrow Amounts, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-6505,"Escrow Amounts, Departmental Administration, Veterans Affairs",Department of Veterans Affairs,Departmental Administration
036-8129,"Department of Veterans Affairs Cemetery Gift Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-8132,"National Service Life Insurance Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-8133,"Post-Vietnam Era, Veterans Education Account, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-8150,"United States Government Life Insurance Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-8180,"General Post Fund, National Homes, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
036-8455,"Veterans Special Life Insurance Fund, Trust Revolving Fund, Veterans Affairs",Department of Veterans Affairs,DEPARTMENT OF VETERANS AFFAIRS
045-0100,"Salaries and Expenses, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,null
045-4019,"EEOC Education, Technical Assistance and Training Revolving Fund, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,
045-6050,"Employees' Payroll Allotment Account, United States Savings Bonds, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,
045-6275,"Withheld State and Local Taxes, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,
045-6276,"Other Federal Payroll Withholding, Allotments, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,
045-6500,"Advances Without Orders from Non-Federal Sources, Equal Employment Opportunity Commission",Equal Employment Opportunity Commission,
045-6501,"Small Escrow Amounts, Equal Employment Opportunity",Equal Employment Opportunity Commission,
047-0105,"Allowances and Office Staff for Former Presidents, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0107,"Expenses, Presidential Transition, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0108,"Office of Inspector General, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0110,"Operating Expenses, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0112,"Office of Inspector General - Recovery Act, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0114,"Salaries and Expenses, General Management and Administration, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0401,"Expenses, Government-Wide Policy, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0403,"Government-Wide Policy - Recovery Act, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0505,"Energy-Efficient Federal Motor Vehicle Fleet Procurement - Recovery Act, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0535,"Real Property Relocation, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0600,"Expenses, Electronic Government (E-Gov) Fund, General Services Administration",Department of Labor,Labor-Management Services Administration
047-0603,"Pre-Election Presidential Transition, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0610,"Civilian Board of Contract Appeals, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0614,"Asset Proceeds and Space Management Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-0616,"Technology Modernization Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4084,"Land Acquisition and Development Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4530,"General Supply Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4534,"Acquisition Services Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4540,"Working Capital Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4542,"Federal Buildings Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4543,"Federal Buildings Fund - Recovery Act, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4543,"Federal Buildings Fund - Recovery Act, General Services Adminstration",General Services Administration,GENERAL SERVICES ADMINISTRATION
047-4548,"Information Technology Fund, General Services Administration",General Services Administration,GENERAL SERVICES ADMINISTRATION
